Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
805,Levis,Men 511 Slim Fit jeans,Rs. 3079,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-mid-rise-light-fade-stretchable-jeans/18973880/buy,3.7
806,Roadster,Pure Cotton Printed Pure Cotton tshirt,Rs. 359,https://www.myntra.com/tshirts/roadster/roadster-men-yellow--black-pure-cotton-typography-printed-pure-cotton-t-shirt/13744608/buy,4.1
807,Roadster,Men Regular Fit Casual shirt,Rs. 584,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-grey--black-regular-fit-checked-sustainable-casual-shirt/10397963/buy,4.3
808,H&M,3-Pack Slim Fit tshirts,Rs. 1999,https://www.myntra.com/tshirts/hm/hm-men-3-pack-slim-fit-t-shirts/22283832/buy,4.4
809,WROGN,Men Skinny Fit Mid-Rise jeans,Rs. 1799,https://www.myntra.com/jeans/wrogn/wrogn-men-skinny-fit-heavy-fade-stretchable-mid-rise-jeans/21979170/buy,3.3
810,The Indian Garage Co,Men Regular Fit Casual shirt,Rs. 511,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-white--green-regular-fit-checked-casual-shirt/8028613/buy,3.9
811,HIGHLANDER,Yarn Dyed Slim Casual shirt,Rs. 699,https://www.myntra.com/shirts/highlander/highlander-men-grey--black-slim-fit-yarn-dyed-checked-casual-shirt/11093688/buy,4.1
812,WILD WEST,Men Casual shirt,Rs. 539,https://www.myntra.com/shirts/wild-west/wild-west-men-white-casual-shirt/9733875/buy,4.2
813,Blackberrys,Cotton Slim Printed shirt,Rs. 2155,https://www.myntra.com/shirts/blackberrys/blackberrys-pure-cotton-knitted-slim-fit-floral-print-casual-shirt/21594112/buy,3.3
814,Allen Solly,Men Cotton Casual shirt,Rs. 2491,https://www.myntra.com/shirts/allen-solly/allen-solly-men-black-slim-fit-windowpane-checks-cotton-casual-shirt/20740180/buy,4.4
815,Urbano Fashion,Men Printed Slim Fit tshirt,Rs. 450,https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-olive-green-printed-tropical-slim-fit-t-shirt/15205794/buy,4
816,Louis Philippe Sport,Men Pure Cotton Casual shirt,Rs. 2111,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-maroon-slim-fit-pure-cotton-casual-shirt/19449454/buy,4.3
817,Arrow Sport,Manhattan Slim Casual shirt,Rs. 1499,https://www.myntra.com/shirts/arrow-sport/arrow-sport-men-blue-manhattan-slim-fit-checked-pure-cotton-casual-shirt/19467536/buy,4.3
818,Peter England,Pure Cotton Formal shirt,Rs. 1423,https://www.myntra.com/shirts/peter-england/peter-england-men-blue-slim-fit-pure-cotton-formal-shirt/19845812/buy,4.1
819,Kook N Keech Marvel,Printed Pure Cotton Oversized tshirt,Rs. 455,https://www.myntra.com/tshirts/kook-n-keech-marvel/kook-n-keech-marvel-men-olive-green-printed-round-neck-pure-cotton-oversized-t-shirt/12958440/buy,4.3
820,Roadster,Regular Fit Casual shirt,Rs. 764,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue-regular-fit-solid-sustainable-casual-shirt/11957974/buy,4.4
821,Blackberrys,Cotton India Slim Fit shirt,Rs. 2335,https://www.myntra.com/shirts/blackberrys/blackberrys-pure-cotton-india-slim-fit-casual-shirt/21594284/buy,2.4
822,H&M,Short-Sleeved Oxford shirt,Rs. 1499,https://www.myntra.com/shirts/hm/hm-relaxed-fit-short-sleeved-pure-cotton-oxford-shirt/22929540/buy,5.4
823,INVICTUS,Slim Fit Stretch Formal shirt,Rs. 649,https://www.myntra.com/shirts/invictus/invictus-men-navy-blue-slim-fit-solid-stretch-formal-shirt/10887874/buy,4.2
824,Roadster,Men Printed Hooded sweatshirt,Rs. 959,https://www.myntra.com/sweatshirts/roadster/roadster-men-white--black-alphanumeric--graphic-print-hooded-sweatshirt/11957032/buy,4.4
825,HERE&NOW,Men Slim Fit Casual shirt,Rs. 1249,https://www.myntra.com/shirts/herenow/herenow-men-slim-fit-checked-casual-shirt/21249954/buy,4
826,WROGN,Printed Cotton Slim tshirt,Rs. 1189,https://www.myntra.com/tshirts/wrogn/wrogn-brand-logo-printed-polo-collar-pure-cotton-slim-fit-t-shirt/21721554/buy,4.6
827,Mast & Harbour,Men Skinny Fit jeans,Rs. 1259,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-black-skinny-fit-mid-rise-clean-look-stretchable-jeans/12983728/buy,4
828,U.S. Polo Assn. Denim Co.,Slim Fit Striped Casual shirt,Rs. 2249,https://www.myntra.com/shirts/us-polo-assn-denim-co/u-s-polo-assn-denim-co-men-navy-blue--rust-red-slim-fit-striped-pure-cotton-casual-shirt/19166664/buy,4.2
829,Reebok,Men Training tshirt,Rs. 844,https://www.myntra.com/tshirts/reebok/reebok-men-navy-blue-training-speedwick-t-shirt/18667062/buy,4.6
830,Roadster,Men Slim Fit jeans,Rs. 899,https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-light-fade-stretchable-jeans/13866324/buy,3.7
831,Levis,Men 517 Bootcut jeans,Rs. 3439,https://www.myntra.com/jeans/levis/levis-men-517-bootcut-heavy-fade-stretchable-jeans/21927040/buy,3.9
832,United Colors of Benetton,Slim Fit Cotton Casual shirt,Rs. 1649,https://www.myntra.com/shirts/united-colors-of-benetton/united-colors-of-benetton-men-green-slim-fit-cotton-casual-shirt/20869874/buy,4.4
833,Allen Solly,Cotton Casual shirt,Rs. 1609,https://www.myntra.com/shirts/allen-solly/allen-solly-spread-collar-cotton-casual-shirt/21873664/buy,4.5
834,Indian Terrain,Cotton Slim Fit Casual shirt,Rs. 1799,https://www.myntra.com/shirts/indian-terrain/indian-terrain-pure-cotton-chiseled-slim-fit-tartan-checked-shirt/22154184/buy,3
835,Roadster,Polo Collar Cotton tshirt,Rs. 659,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-polo-collar-pure-cotton-t-shirt/21422958/buy,4.1
836,Red Tape,Cotton Linen Casual shirt,Rs. 988,https://www.myntra.com/shirts/red-tape/red-tape-mandarin-collar-cotton-linen-casual-shirt/22599362/buy,3.6
837,HERE&NOW,Men Mid Rise jeans,Rs. 1484,https://www.myntra.com/jeans/herenow/herenow-men-mid-rise-light-fade-stretchable-jeans/21808618/buy,4.8
838,DAMENSCH,Premium Cotton Full tshirt,Rs. 1341,https://www.myntra.com/tshirts/damensch/damensch-cotton-ribbed--regular-fit-t-shirt/21348780/buy,5
839,WROGN,Men Jogger Fit jeans,Rs. 1959,https://www.myntra.com/jeans/wrogn/wrogn-men-mid-rise-light-fade-stretchable-jogger-fit-jeans/22147812/buy,3.5
840,Fabindia,Dabu Cotton Straight kurta,Rs. 2069,https://www.myntra.com/kurtas/fabindia/fabindia-men-dabu-print-cotton-straight-kurta/19766604/buy,3.8
841,Code 61,Men Skinny Fit Low-Rise jeans,Rs. 1299,https://www.myntra.com/jeans/code-61/code-61-men-turquoise-blue-skinny-fit-low-rise-bleached-stretchable-jeans/20683010/buy,3.4
842,Snitch,Printed Slim Fit Casual shirt,Rs. 783,https://www.myntra.com/shirts/snitch/snitch-yellow-floral-printed-short-sleeves-slim-fit-casual-shirt/22450568/buy,4.6
843,H&M,Men Relaxed Fit hoodie,Rs. 1379,https://www.myntra.com/sweatshirts/hm/hm-men-relaxed-fit-hoodie/21470320/buy,4.1
844,Urbano Fashion,Men Slim Fit jeans,Rs. 809,https://www.myntra.com/jeans/urbano-fashion/urbano-fashion-men-blue-slim-fit-mid-rise-highly-distressed-stretchable-jeans/12729788/buy,4.1
845,House of Pataudi,Men Woven Design Jashn kurta,Rs. 1999,https://www.myntra.com/kurtas/house-of-pataudi/house-of-pataudi-men-red-woven-design-jashn-kurta/14341624/buy,4.3
846,WROGN,Men Slim Fit Casual shirt,Rs. 1679,https://www.myntra.com/shirts/wrogn/wrogn-men-white-slim-fit-casual-shirt/10187557/buy,4.2
847,Nike,DF CLASSIC JERSEY NFS tshirt,Rs. 1496,https://www.myntra.com/tshirts/nike/nike-brand-logo-dri-fit-classic-jersey-nfs-t-shirt/21489742/buy,4.4
848,Roadster,Men Striped Polo tshirt,Rs. 769,https://www.myntra.com/tshirts/roadster/roadster-men-blue--white-striped-polo-collar-t-shirt/16996684/buy,4.5
849,Louis Philippe Sport,Men Striped Polo Collar tshirt,Rs. 1099,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-green--navy-blue-striped-polo-collar-t-shirt/20324714/buy,4.4
850,Indian Terrain,Slim Fit Opaque Semiformal shirt,Rs. 1999,https://www.myntra.com/shirts/indian-terrain/indian-terrain-cotton-slim-fit-opaque-printed-semiformal-shirt/22154158/buy,3.8
851,Flying Machine,Men Skinny Fit Low-Rise jeans,Rs. 1999,https://www.myntra.com/jeans/flying-machine/flying-machine-men-navy-blue-jackson-skinny-fit-low-rise-stretchable-jeans/17097966/buy,4.2
852,Anouk,Men Pure Cotton Printed kurta,Rs. 1484,https://www.myntra.com/kurtas/anouk/anouk-men-blue--yellow-ethnic-motifs-printed-pure-cotton-straight-kurta/17593306/buy,3.9
853,U.S. Polo Assn.,Men Polo Collar Slim Fit tshirt,Rs. 399,https://www.myntra.com/tshirts/us-polo-assn/us-polo-assn-men-polo-collar-monochrome-slim-fit-t-shirt/21550084/buy,4
854,Kook N Keech Disney,Pure Cotton Oversized tshirt,Rs. 2399,https://www.myntra.com/tshirts/kook-n-keech-disney/kook-n-keech-disney-mickey-mouse-striped-drop-shoulder-pure-cotton-oversized-t-shirt/21440474/buy,4.4
855,Roadster,Men Regular Fit Casual shirt,Rs. 659,https://www.myntra.com/shirts/roadster/roadster-men-black--grey-regular-fit-checked-casual-sustainable-shirt/10398271/buy,4.3
856,Roadster,Printed Round Neck tshirt,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-green-printed-round-neck-t-shirt/12013488/buy,4
857,WROGN,Men Skinny Fit jeans,Rs. 349,https://www.myntra.com/jeans/wrogn/wrogn-men-grey-solid-skinny-fit-light-fade-stretchable-jeans/15068722/buy,4.2
858,U.S. Polo Assn. Denim Co.,Men Brandon Slim Tapered jeans,Rs. 1539,https://www.myntra.com/jeans/us-polo-assn-denim-co/us-polo-assn-denim-co-men-blue-brandon-slim-tapered-fit-light-fade-stretchable-jeans/18070578/buy,4.1
859,WROGN,Slim Fit Logo Printed tshirt,Rs. 1379,https://www.myntra.com/tshirts/wrogn/wrogn-men-blue--black-brand-logo-printed-slim-fit-sleeveless-t-shirt/18298724/buy,4.5
860,HERE&NOW,Printed sweatshirt,Rs. 359,https://www.myntra.com/sweatshirts/herenow/herenow-men-grey-melange--black-printed-hooded-sweatshirt/12009282/buy,4.3
861,encore by INVICTUS,Polo Collar tshirt,Rs. 1679,https://www.myntra.com/tshirts/encore-by-invictus/encore-by-invictus-polo-collar-t-shirt/20034788/buy,2.4
862,United Colors of Benetton,Pure Cotton Polo tshirt,Rs. 603,https://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-men-navy-blue-polo-collar-pure-cotton-t-shirt/15340972/buy,4.3
863,Blackberrys,Cotton Slim Fit Casual shirt,Rs. 1299,https://www.myntra.com/shirts/blackberrys/blackberrys-striped-pure-cotton-slim-fit-casual-shirt/19024046/buy,5
864,HIGHLANDER,Printed Cotton Casual shirt,Rs. 1946,https://www.myntra.com/shirts/highlander/highlander-men-tropical-printed-cotton-slim-fit-casual-shirt/21339130/buy,4.1
865,Roadster,Henley Neck tshirt,Rs. 610,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-henley-neck-t-shirt/21423568/buy,4.2
866,Tommy Hilfiger,Men Polo Collar tshirt,Rs. 239,https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-men-solid-polo-collar-t-shirt/21487710/buy,3.6
867,ADIDAS,Men ESS Core Polo Cotton Pure Cotton tshirt,Rs. 2239,https://www.myntra.com/tshirts/adidas/adidas-men-navy-blue-ess-core-polo-pure-cotton-training-pure-cotton-sustainable-t-shirt/13743078/buy,4.5
868,Nautica,Striped Slim Fit tshirt,Rs. 1999,https://www.myntra.com/tshirts/nautica/nautica-men-grey--black-striped-pure-cotton-slim-fit-t-shirt/19005834/buy,4.4
869,WROGN,Polo Cotton Pure Cotton tshirt,Rs. 719,https://www.myntra.com/tshirts/wrogn/wrogn-men-red-polo-cotton-pure-cotton-t-shirt/1729585/buy,4.1
870,Mast & Harbour,Printed Cotton Casual shirt,Rs. 979,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-printed-pure-cotton-casual-shirt/18422866/buy,4.1
871,Van Heusen,Men Pure Cotton Formal shirt,Rs. 899,https://www.myntra.com/shirts/van-heusen/van-heusen-men-slim-fit-checked-pure-cotton-formal-shirt/19481988/buy,4.3
872,Roadster,Men Regular Fit Casual shirt,Rs. 1399,https://www.myntra.com/shirts/roadster/roadster-men-charcoal-grey-regular-fit-printed-sustainable-casual-shirt/10740962/buy,4.2
873,Van Heusen,Men Pure Cotton tshirt,Rs. 674,https://www.myntra.com/tshirts/van-heusen/van-heusen-men-striped-polo-collar-pure-cotton-t-shirt/20687008/buy,5
874,Indian Terrain,Pure Cotton Slim Fit shirt,Rs. 1679,https://www.myntra.com/shirts/indian-terrain/indian-terrain-pure-cotton-indigo-dye-slim-fit-semiformal-shirt/22155222/buy,4.2
875,HIGHLANDER,Men Cotton Casual shirt,Rs. 2399,https://www.myntra.com/shirts/highlander/highlander-men-coffee-brown-slim-fit-cotton-casual-shirt/19771886/buy,4
876,Roadster,Raglan Sleeves tshirt,Rs. 619,https://www.myntra.com/tshirts/roadster/the-roadster-life-co--raglan-sleeves-t-shirt/21423454/buy,3.9
877,HIGHLANDER,Men Solid Bomber jacket,Rs. 299,https://www.myntra.com/jackets/highlander/highlander-men-blue-solid-bomber-jacket/11044446/buy,3.8
878,The Indian Garage Co,Men Jogger jeans,Rs. 1499,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-light-fade-stretchable-jogger-jeans/15313894/buy,3.9
879,Flying Machine,Men Slim Fit jeans,Rs. 659,https://www.myntra.com/jeans/flying-machine/flying-machine-men-grey-micheal-slim-fit-mid-rise-heavy-fade-stretchable-jeans/18734092/buy,3.8
880,Peter England,Slim Fit Formal shirt,Rs. 1124,https://www.myntra.com/shirts/peter-england/peter-england-men-blue-slim-fit-formal-shirt/21022430/buy,3.8
881,KETCH,Men Slim Fit Casual shirt,Rs. 909,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue--red-slim-fit-checked-casual-shirt/17435040/buy,3.6
882,Calvin Klein Jeans,Men Pure Cotton tshirt,Rs. 399,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-brand-logo-printed-pure-cotton-t-shirt/21086856/buy,3.3
883,WROGN,Men Printed Slim Fit tshirt,Rs. 2079,https://www.myntra.com/tshirts/wrogn/wrogn-men-black-printed-sleeveless-slim-fit-casual-t-shirt/17026142/buy,4.1
884,Sztori,Plus Size Cotton tshirt,Rs. 449,https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-red-solid-polo-collar-t-shirt/14545692/buy,4.5
